,id,date,username,tweet,latitude,longitude
0,1387917769501515778,2021-04-29 23:52:37+00:00,MaseebAkhter,"3RD JUMMA MUBARAK
💖 💖 💖 💖 💖 
#Ramadan2021 #world
#Karachi #Pakistan 
#hello #Friday
#FridayFeeling
#surah #ikhlas #COVID19
 #StaySafe #StayHome
#StaySafeStayHealthy https://t.co/uuZLW9URdI", 24.97207737170869,67.06438097760116
1,1387915894769160192,2021-04-29 23:45:10+00:00,TANTRAYSAQLAIN1,@bollywood_life Lanat hai bollywood par jis na india k leya donate nahi keya Jin k paisi sa chalta thaa aaj wahi loog Covid-19 mai Mar raha hai aaj bollywood ka faraz thaa ki her actor ComsaCom aak(1) aak Crore donate karni chayeya jab ya loog falim ya drama dak raha hai tab inko paisi milta hai, 33.5245947,74.1197462
2,1387914934533513220,2021-04-29 23:41:21+00:00,PolsekPlaju3,"Bersama Kita Lawan Covid-19

Sinergitas TNI-POLRI
Dalam Mencegah Penularan Covid-19
.
JAGOAN PALEMBANG
JAGO PALEMBANG!

@DivHumas_Polri
@PolisiSumsel
@irvanprawira
@palembangpolice https://t.co/KaA26kCZ5F", -3.190822,104.794609
3,1387913431865610244,2021-04-29 23:35:22+00:00,irfania_real,"Jummah Mubarak 
#irfaniarealestate #jummahmubarak #the #covid_19 #pakistan #love https://t.co/MoTgsCRLyU", 31.315389012270852,74.22239485207925
4,1387911958393987075,2021-04-29 23:29:31+00:00,kenny_thok,"Semangat ya neng!!!!
Isolasi pake 3M sek....
#covid_19 #tenggriyomawon #ndekomahwae #pakaimasker @ Pondok Derita Anak Rantau instagram.com/p/CORLHWNhKLt9…", -2.455096,111.9306977
5,1387907774441566213,2021-04-29 23:12:54+00:00,kejarirohul,"Pada hari Kamis tanggal 29 April 2021, Kepala Seksi Intelijen, Ari Supandi, SH. MH. menghadiri Rapat Koordinasi Upaya Penanggulangan Penyebaran Covid-19 di Kabupaten Rokan Hulu. 

#kejaksaanri #kejatiriau #covid_19 instagram.com/p/CORJPkonTin/…", 0.90254173,100.30826258
6,1387900087645265921,2021-04-29 22:42:21+00:00,eye_healer,"System ko changa si se nanga si karnewalo.. janta maaf nahi karegi..
#coronavirus #COVID19", 24.37356,92.419839
7,1387897766102269952,2021-04-29 22:33:07+00:00,sek_batulayar,"Jangan Mudik
Bersama Cegah Penyebaran COVID-19

#divhumaspolri 
#humaspoldantb 
#humaspolreslobar
#KampungSehat2NTB
#kampungsehatntbjilid2
#kampungsehatnuruttatananbaru
#polreslobar 
#polreslobarsukseskanlombakampungsehat
#UnitBinmasPolsekSenggigi https://t.co/xQZvs9A5R0", -8.623126,116.069081
8,1387886247444549633,2021-04-29 21:47:21+00:00,katapang_polsek,"Penerapan protokol kesehatan terhadap pengunjung / tamu di Mako polsek katapang sebagai upaya pencegahan penularan Covid-19 di lingkungan perkantoran
.
.
#bersamabersinergi 
#patuhiprotokolkesehatan 
#polripresisi 
#polrestabandungmantap 
#poldajabar 
#polisiindonesia https://t.co/ISxEjZaF53", -7.031984,107.534391
9,1387885703405572098,2021-04-29 21:45:12+00:00,NabialCG,"Semoga, dan tetap disiplin menjalani prokes
AAMIIN
#COVID19 #VaksinUntukIndonesia", -7.773728,110.304567
